Player 1,Player 2,Country,Points,Date,Gender
David Ahman,Jonatan Hellvig,SWEDEN,1560 points (2),20/03/2023,male
Adrian Gavira,Pablo Herrera,SPAIN,1560 points (2),20/03/2023,male
Anders Mol,Christian Sorum,NORWAY,1200 points (1),20/03/2023,male
Adrian Carambula,Alex Ranghieri,ITALY,1000 points (1),20/03/2023,male
Paul Burnett,Chris McHugh,AUSTRALIA,920 points (2),20/03/2023,male
Michal Bryl,Bartosz Losiak,POLAND,900 points (1),20/03/2023,male
Alex Brouwer,Robert Meeuwsen,NETHERLANDS,760 points (1),20/03/2023,male
Esteban Grimalt,Marco Grimalt,CHILE,760 points (1),20/03/2023,male
Nils Ehlers,Clemens Wickler,GERMANY,760 points (1),20/03/2023,male
Stefan Boermans,Yorick de Groot,NETHERLANDS,760 points (1),20/03/2023,male
Mortiz Pristauz,Robin Seidl,AUSTRIA,720 points (1),20/03/2023,male
Evandro Goncalves,Arthur Mariano,BRAZIL,680 points (1),20/03/2023,male
Aleksandrs Samoilovs,Janis Smedins,LATVIA,620 points (2),20/03/2023,male
Vitor Felipe,Renato Lima,BRAZIL,600 points (1),20/03/2023,male
Cherif Samba,Ahmed Tijan,QATAR,600 points (1),20/03/2023,male
Andre Loyola,George Wanderley,BRAZIL,600 points (1),20/03/2023,male
Sam Cottafava,Paolo Nicolai,ITALY,600 points (1),20/03/2023,male
Thomas Hodges,Zac Schubert,AUSTRALIA,600 points (1),20/03/2023,male
Theo Brunner,Trevor Crabb,USA,600 points (1),20/03/2023,male
Dan Dearing,Sam Schachter,CANADA,600 points (1),20/03/2023,male
Remi Bassereau,Julien Lyneel,FRANCE,600 points (1),20/03/2023,male
Evan Cory,Logan Webber,USA,560 points (2),20/03/2023,male
Hasan Mermer,Safa Urlu,TURKEY,540 points (2),20/03/2023,male
Jake MacNeil,Alex Russell,,480 points (2),20/03/2023,male
Kristen Nuss,Taryn Kloth,USA,1560 points (2),20/03/2023,female
Kelly Cheng,Sara Hughes,USA,1360 points (2),20/03/2023,female
Raisa Schoon,Katja Stam,NETHERLANDS,1200 points (1),20/03/2023,female
Barbora Hermannova,Marie-Sara Stochlova,CZECH REPUBLIC,1200 points (2),20/03/2023,female
Nina Brunner,Tanja Huberli,SWITZERLAND,1100 points (1),20/03/2023,female
Toni Rodriguez,Savvy Simo,USA,1100 points (2),20/03/2023,female
Talita Antunes,Thamela Coradelli,BRAZIL,1060 points (2),20/03/2023,female
Dorina Klinger,Ronja Klinger,AUSTRIA,1020 points (2),20/03/2023,female
Mariafe Artacho,Taliqua Clancy,AUSTRALIA,1000 points (2),20/03/2023,female
Karla Borger,Sandra Ittlinger,GERMANY,920 points (2),20/03/2023,female
Tina Graudina,Anastasija Kravcenoka,LATVIA,900 points (1),20/03/2023,female
Megan Kraft,Emily Stockman,USA,860 points (2),20/03/2023,female
Maria Carro,Angela Lobato,SPAIN,800 points (2),20/03/2023,female
Duda Lisboa,Ana Patricia Silva,BRAZIL,760 points (1),20/03/2023,female
Melissa Humana-Paredes,Brandie Wilkerson,CANADA,760 points (1),20/03/2023,female
